"p0","p1","p2","p3","p4","p5"
 5.08429110192969214e-01, 3.69718243688240094e+01, 4.30032493456378562e-01, 6.11111013024820959e-01, 5.00583596325883136e+01, 6.27283151851928782e-03
 5.35825005632327267e-01, 3.61721180594938900e+01, 3.86641596862105974e-01, 5.37823632083008651e-01, 5.01526760950045158e+01, 2.67689636594733577e-02
 4.99389108620717392e-01, 3.68720829930972371e+01, 2.31862459828893114e-01, 4.57356675676971969e-01, 4.89563683445920859e+01, 2.75894496303004007e-02
 4.99389108620717392e-01, 3.68720829930972371e+01, 2.31862459828893114e-01, 4.57356675676971969e-01, 4.89563683445920859e+01, 2.75894496303004007e-02
 4.99389108620717392e-01, 3.68720829930972371e+01, 2.31862459828893114e-01, 4.57356675676971969e-01, 4.89563683445920859e+01, 2.75894496303004007e-02
 4.99389108620717392e-01, 3.68720829930972371e+01, 2.31862459828893114e-01, 4.57356675676971969e-01, 4.89563683445920859e+01, 2.75894496303004007e-02
 4.99389108620717392e-01, 3.68720829930972371e+01, 2.31862459828893114e-01, 4.57356675676971969e-01, 4.89563683445920859e+01, 2.75894496303004007e-02
 4.99389108620717392e-01, 3.68720829930972371e+01, 2.31862459828893114e-01, 4.57356675676971969e-01, 4.89563683445920859e+01, 2.75894496303004007e-02
 4.99389108620717392e-01, 3.68720829930972371e+01, 2.31862459828893114e-01, 4.57356675676971969e-01, 4.89563683445920859e+01, 2.75894496303004007e-02
 4.64237177659569733e-01, 3.75889678066794488e+01, 2.57097531738214646e-01, 5.16524415116485280e-01, 4.88954732821115243e+01, 2.49816486395853660e-02
 4.64237177659569733e-01, 3.75889678066794488e+01, 2.57097531738214646e-01, 5.16524415116485280e-01, 4.88954732821115243e+01, 2.49816486395853660e-02
 4.64237177659569733e-01, 3.75889678066794488e+01, 2.57097531738214646e-01, 5.16524415116485280e-01, 4.88954732821115243e+01, 2.49816486395853660e-02
 4.64237177659569733e-01, 3.75889678066794488e+01, 2.57097531738214646e-01, 5.16524415116485280e-01, 4.88954732821115243e+01, 2.49816486395853660e-02
 4.64237177659569733e-01, 3.75889678066794488e+01, 2.57097531738214646e-01, 5.16524415116485280e-01, 4.88954732821115243e+01, 2.49816486395853660e-02
 4.64237177659569733e-01, 3.75889678066794488e+01, 2.57097531738214646e-01, 5.16524415116485280e-01, 4.88954732821115243e+01, 2.49816486395853660e-02
 4.64237177659569733e-01, 3.75889678066794488e+01, 2.57097531738214646e-01, 5.16524415116485280e-01, 4.88954732821115243e+01, 2.49816486395853660e-02
 4.64237177659569733e-01, 3.75889678066794488e+01, 2.57097531738214646e-01, 5.16524415116485280e-01, 4.88954732821115243e+01, 2.49816486395853660e-02
 4.64237177659569733e-01, 3.75889678066794488e+01, 2.57097531738214646e-01, 5.16524415116485280e-01, 4.88954732821115243e+01, 2.49816486395853660e-02
 4.64237177659569733e-01, 3.75889678066794488e+01, 2.57097531738214646e-01, 5.16524415116485280e-01, 4.88954732821115243e+01, 2.49816486395853660e-02
 4.64237177659569733e-01, 3.75889678066794488e+01, 2.57097531738214646e-01, 5.16524415116485280e-01, 4.88954732821115243e+01, 2.49816486395853660e-02
 4.64237177659569733e-01, 3.75889678066794488e+01, 2.57097531738214646e-01, 5.16524415116485280e-01, 4.88954732821115243e+01, 2.49816486395853660e-02
 4.64237177659569733e-01, 3.75889678066794488e+01, 2.57097531738214646e-01, 5.16524415116485280e-01, 4.88954732821115243e+01, 2.49816486395853660e-02
 4.64237177659569733e-01, 3.75889678066794488e+01, 2.57097531738214646e-01, 5.16524415116485280e-01, 4.88954732821115243e+01, 2.49816486395853660e-02
 4.64237177659569733e-01, 3.75889678066794488e+01, 2.57097531738214646e-01, 5.16524415116485280e-01, 4.88954732821115243e+01, 2.49816486395853660e-02
 5.09471081066549480e-01, 3.68972912863298106e+01, 2.56208446007691160e-01, 5.05902441631015498e-01, 4.85759064217153878e+01, 2.79587969606681468e-02
 5.09471081066549480e-01, 3.68972912863298106e+01, 2.56208446007691160e-01, 5.05902441631015498e-01, 4.85759064217153878e+01, 2.79587969606681468e-02
 5.09471081066549480e-01, 3.68972912863298106e+01, 2.56208446007691160e-01, 5.05902441631015498e-01, 4.85759064217153878e+01, 2.79587969606681468e-02
