"p0","p1","p2","p3","p4","p5","p6"
 1.25502572546608970e+00, 5.31411948110347936e+01, 9.99999999999718225e-01, 4.11749232251695796e-02, 7.93323584304661433e-01, 4.03856065617772799e+01, 1.89119152903725906e-03
 1.25502572546608970e+00, 5.31411948110347936e+01, 9.99999999999718225e-01, 4.11749232251695796e-02, 7.93323584304661433e-01, 4.03856065617772799e+01, 1.89119152903725906e-03
 1.25502572546608970e+00, 5.31411948110347936e+01, 9.99999999999718225e-01, 4.11749232251695796e-02, 7.93323584304661433e-01, 4.03856065617772799e+01, 1.89119152903725906e-03
 1.25502572546608970e+00, 5.31411948110347936e+01, 9.99999999999718225e-01, 4.11749232251695796e-02, 7.93323584304661433e-01, 4.03856065617772799e+01, 1.89119152903725906e-03
 1.25502572546608970e+00, 5.31411948110347936e+01, 9.99999999999718225e-01, 4.11749232251695796e-02, 7.93323584304661433e-01, 4.03856065617772799e+01, 1.89119152903725906e-03
 1.25502572546608970e+00, 5.31411948110347936e+01, 9.99999999999718225e-01, 4.11749232251695796e-02, 7.93323584304661433e-01, 4.03856065617772799e+01, 1.89119152903725906e-03
 1.25502572546608970e+00, 5.31411948110347936e+01, 9.99999999999718225e-01, 4.11749232251695796e-02, 7.93323584304661433e-01, 4.03856065617772799e+01, 1.89119152903725906e-03
 1.25502572546608970e+00, 5.31411948110347936e+01, 9.99999999999718225e-01, 4.11749232251695796e-02, 7.93323584304661433e-01, 4.03856065617772799e+01, 1.89119152903725906e-03
 1.25502572546608970e+00, 5.31411948110347936e+01, 9.99999999999718225e-01, 4.11749232251695796e-02, 7.93323584304661433e-01, 4.03856065617772799e+01, 1.89119152903725906e-03
 1.25502572546608970e+00, 5.31411948110347936e+01, 9.99999999999718225e-01, 4.11749232251695796e-02, 7.93323584304661433e-01, 4.03856065617772799e+01, 1.89119152903725906e-03
 1.25502572546608970e+00, 5.31411948110347936e+01, 9.99999999999718225e-01, 4.11749232251695796e-02, 7.93323584304661433e-01, 4.03856065617772799e+01, 1.89119152903725906e-03
 1.25502572546608970e+00, 5.31411948110347936e+01, 9.99999999999718225e-01, 4.11749232251695796e-02, 7.93323584304661433e-01, 4.03856065617772799e+01, 1.89119152903725906e-03
 1.25502572546608970e+00, 5.31411948110347936e+01, 9.99999999999718225e-01, 4.11749232251695796e-02, 7.93323584304661433e-01, 4.03856065617772799e+01, 1.89119152903725906e-03
 1.25502572546608970e+00, 5.31411948110347936e+01, 9.99999999999718225e-01, 4.11749232251695796e-02, 7.93323584304661433e-01, 4.03856065617772799e+01, 1.89119152903725906e-03
 1.25502572546608970e+00, 5.31411948110347936e+01, 9.99999999999718225e-01, 4.11749232251695796e-02, 7.93323584304661433e-01, 4.03856065617772799e+01, 1.89119152903725906e-03
 1.25502572546608970e+00, 5.31411948110347936e+01, 9.99999999999718225e-01, 4.11749232251695796e-02, 7.93323584304661433e-01, 4.03856065617772799e+01, 1.89119152903725906e-03
 1.25502572546608970e+00, 5.31411948110347936e+01, 9.99999999999718225e-01, 4.11749232251695796e-02, 7.93323584304661433e-01, 4.03856065617772799e+01, 1.89119152903725906e-03
 1.25502572546608970e+00, 5.31411948110347936e+01, 9.99999999999718225e-01, 4.11749232251695796e-02, 7.93323584304661433e-01, 4.03856065617772799e+01, 1.89119152903725906e-03
 1.25502572546608970e+00, 5.31411948110347936e+01, 9.99999999999718225e-01, 4.11749232251695796e-02, 7.93323584304661433e-01, 4.03856065617772799e+01, 1.89119152903725906e-03
 1.25502572546608970e+00, 5.31411948110347936e+01, 9.99999999999718225e-01, 4.11749232251695796e-02, 7.93323584304661433e-01, 4.03856065617772799e+01, 1.89119152903725906e-03
 1.25502572546608970e+00, 5.31411948110347936e+01, 9.99999999999718225e-01, 4.11749232251695796e-02, 7.93323584304661433e-01, 4.03856065617772799e+01, 1.89119152903725906e-03
 1.25502572546608970e+00, 5.31411948110347936e+01, 9.99999999999718225e-01, 4.11749232251695796e-02, 7.93323584304661433e-01, 4.03856065617772799e+01, 1.89119152903725906e-03
 1.25502572546608970e+00, 5.31411948110347936e+01, 9.99999999999718225e-01, 4.11749232251695796e-02, 7.93323584304661433e-01, 4.03856065617772799e+01, 1.89119152903725906e-03
 1.25502572546608970e+00, 5.31411948110347936e+01, 9.99999999999718225e-01, 4.11749232251695796e-02, 7.93323584304661433e-01, 4.03856065617772799e+01, 1.89119152903725906e-03
 1.25502572546608970e+00, 5.31411948110347936e+01, 9.99999999999718225e-01, 4.11749232251695796e-02, 7.93323584304661433e-01, 4.03856065617772799e+01, 1.89119152903725906e-03
 1.25502572546608970e+00, 5.31411948110347936e+01, 9.99999999999718225e-01, 4.11749232251695796e-02, 7.93323584304661433e-01, 4.03856065617772799e+01, 1.89119152903725906e-03
 1.25502572546608970e+00, 5.31411948110347936e+01, 9.99999999999718225e-01, 4.11749232251695796e-02, 7.93323584304661433e-01, 4.03856065617772799e+01, 1.89119152903725906e-03
 1.25502572546608970e+00, 5.31411948110347936e+01, 9.99999999999718225e-01, 4.11749232251695796e-02, 7.93323584304661433e-01, 4.03856065617772799e+01, 1.89119152903725906e-03
 1.25502572546608970e+00, 5.31411948110347936e+01, 9.99999999999718225e-01, 4.11749232251695796e-02, 7.93323584304661433e-01, 4.03856065617772799e+01, 1.89119152903725906e-03
 1.25502572546608970e+00, 5.31411948110347936e+01, 9.99999999999718225e-01, 4.11749232251695796e-02, 7.93323584304661433e-01, 4.03856065617772799e+01, 1.89119152903725906e-03
 1.25502572546608970e+00, 5.31411948110347936e+01, 9.99999999999718225e-01, 4.11749232251695796e-02, 7.93323584304661433e-01, 4.03856065617772799e+01, 1.89119152903725906e-03
 1.25502572546608970e+00, 5.31411948110347936e+01, 9.99999999999718225e-01, 4.11749232251695796e-02, 7.93323584304661433e-01, 4.03856065617772799e+01, 1.89119152903725906e-03
 1.25502572546608970e+00, 5.31411948110347936e+01, 9.99999999999718225e-01, 4.11749232251695796e-02, 7.93323584304661433e-01, 4.03856065617772799e+01, 1.89119152903725906e-03
 1.25502572546608970e+00, 5.31411948110347936e+01, 9.99999999999718225e-01, 4.11749232251695796e-02, 7.93323584304661433e-01, 4.03856065617772799e+01, 1.89119152903725906e-03
 1.25502572546608970e+00, 5.31411948110347936e+01, 9.99999999999718225e-01, 4.11749232251695796e-02, 7.93323584304661433e-01, 4.03856065617772799e+01, 1.89119152903725906e-03
 1.25502572546608970e+00, 5.31411948110347936e+01, 9.99999999999718225e-01, 4.11749232251695796e-02, 7.93323584304661433e-01, 4.03856065617772799e+01, 1.89119152903725906e-03
 1.25502572546608970e+00, 5.31411948110347936e+01, 9.99999999999718225e-01, 4.11749232251695796e-02, 7.93323584304661433e-01, 4.03856065617772799e+01, 1.89119152903725906e-03
 1.25502572546608970e+00, 5.31411948110347936e+01, 9.99999999999718225e-01, 4.11749232251695796e-02, 7.93323584304661433e-01, 4.03856065617772799e+01, 1.89119152903725906e-03
 1.25502572546608970e+00, 5.31411948110347936e+01, 9.99999999999718225e-01, 4.11749232251695796e-02, 7.93323584304661433e-01, 4.03856065617772799e+01, 1.89119152903725906e-03
 1.25502572546608970e+00, 5.31411948110347936e+01, 9.99999999999718225e-01, 4.11749232251695796e-02, 7.93323584304661433e-01, 4.03856065617772799e+01, 1.89119152903725906e-03
 1.25502572546608970e+00, 5.31411948110347936e+01, 9.99999999999718225e-01, 4.11749232251695796e-02, 7.93323584304661433e-01, 4.03856065617772799e+01, 1.89119152903725906e-03
 1.25502572546608970e+00, 5.31411948110347936e+01, 9.99999999999718225e-01, 4.11749232251695796e-02, 7.93323584304661433e-01, 4.03856065617772799e+01, 1.89119152903725906e-03
 1.25502572546608970e+00, 5.31411948110347936e+01, 9.99999999999718225e-01, 4.11749232251695796e-02, 7.93323584304661433e-01, 4.03856065617772799e+01, 1.89119152903725906e-03
 1.25502572546608970e+00, 5.31411948110347936e+01, 9.99999999999718225e-01, 4.11749232251695796e-02, 7.93323584304661433e-01, 4.03856065617772799e+01, 1.89119152903725906e-03
 1.25502572546608970e+00, 5.31411948110347936e+01, 9.99999999999718225e-01, 4.11749232251695796e-02, 7.93323584304661433e-01, 4.03856065617772799e+01, 1.89119152903725906e-03
 1.25502572546608970e+00, 5.31411948110347936e+01, 9.99999999999718225e-01, 4.11749232251695796e-02, 7.93323584304661433e-01, 4.03856065617772799e+01, 1.89119152903725906e-03
 1.25502572546608970e+00, 5.31411948110347936e+01, 9.99999999999718225e-01, 4.11749232251695796e-02, 7.93323584304661433e-01, 4.03856065617772799e+01, 1.89119152903725906e-03
 1.25502572546608970e+00, 5.31411948110347936e+01, 9.99999999999718225e-01, 4.11749232251695796e-02, 7.93323584304661433e-01, 4.03856065617772799e+01, 1.89119152903725906e-03
 1.25502572546608970e+00, 5.31411948110347936e+01, 9.99999999999718225e-01, 4.11749232251695796e-02, 7.93323584304661433e-01, 4.03856065617772799e+01, 1.89119152903725906e-03
 1.25502572546608970e+00, 5.31411948110347936e+01, 9.99999999999718225e-01, 4.11749232251695796e-02, 7.93323584304661433e-01, 4.03856065617772799e+01, 1.89119152903725906e-03
 1.25502572546608970e+00, 5.31411948110347936e+01, 9.99999999999718225e-01, 4.11749232251695796e-02, 7.93323584304661433e-01, 4.03856065617772799e+01, 1.89119152903725906e-03
 1.25502572546608970e+00, 5.31411948110347936e+01, 9.99999999999718225e-01, 4.11749232251695796e-02, 7.93323584304661433e-01, 4.03856065617772799e+01, 1.89119152903725906e-03
 1.25502572546608970e+00, 5.31411948110347936e+01, 9.99999999999718225e-01, 4.11749232251695796e-02, 7.93323584304661433e-01, 4.03856065617772799e+01, 1.89119152903725906e-03
 1.25502572546608970e+00, 5.31411948110347936e+01, 9.99999999999718225e-01, 4.11749232251695796e-02, 7.93323584304661433e-01, 4.03856065617772799e+01, 1.89119152903725906e-03
 1.25502572546608970e+00, 5.31411948110347936e+01, 9.99999999999718225e-01, 4.11749232251695796e-02, 7.93323584304661433e-01, 4.03856065617772799e+01, 1.89119152903725906e-03
 1.25502572546608970e+00, 5.31411948110347936e+01, 9.99999999999718225e-01, 4.11749232251695796e-02, 7.93323584304661433e-01, 4.03856065617772799e+01, 1.89119152903725906e-03
 1.25502572546608970e+00, 5.31411948110347936e+01, 9.99999999999718225e-01, 4.11749232251695796e-02, 7.93323584304661433e-01, 4.03856065617772799e+01, 1.89119152903725906e-03
 1.25502572546608970e+00, 5.31411948110347936e+01, 9.99999999999718225e-01, 4.11749232251695796e-02, 7.93323584304661433e-01, 4.03856065617772799e+01, 1.89119152903725906e-03
 1.25502572546608970e+00, 5.31411948110347936e+01, 9.99999999999718225e-01, 4.11749232251695796e-02, 7.93323584304661433e-01, 4.03856065617772799e+01, 1.89119152903725906e-03
 1.25502572546608970e+00, 5.31411948110347936e+01, 9.99999999999718225e-01, 4.11749232251695796e-02, 7.93323584304661433e-01, 4.03856065617772799e+01, 1.89119152903725906e-03
 1.25502572546608970e+00, 5.31411948110347936e+01, 9.99999999999718225e-01, 4.11749232251695796e-02, 7.93323584304661433e-01, 4.03856065617772799e+01, 1.89119152903725906e-03
 1.25502572546608970e+00, 5.31411948110347936e+01, 9.99999999999718225e-01, 4.11749232251695796e-02, 7.93323584304661433e-01, 4.03856065617772799e+01, 1.89119152903725906e-03
 1.25502572546608970e+00, 5.31411948110347936e+01, 9.99999999999718225e-01, 4.11749232251695796e-02, 7.93323584304661433e-01, 4.03856065617772799e+01, 1.89119152903725906e-03
 1.25502572546608970e+00, 5.31411948110347936e+01, 9.99999999999718225e-01, 4.11749232251695796e-02, 7.93323584304661433e-01, 4.03856065617772799e+01, 1.89119152903725906e-03
 1.25502572546608970e+00, 5.31411948110347936e+01, 9.99999999999718225e-01, 4.11749232251695796e-02, 7.93323584304661433e-01, 4.03856065617772799e+01, 1.89119152903725906e-03
