"p0","p1","p2","p3","p4"
 2.68896620558043464e+00, 8.06770263472069132e+02, 3.08601550551368176e-01, 3.06049643869857917e+01, 1.47067500277284539e-03
 2.68896620558043464e+00, 8.06770263472069132e+02, 3.08601550551368176e-01, 3.06049643869857917e+01, 1.47067500277284539e-03
 2.68896620558043464e+00, 8.06770263472069132e+02, 3.08601550551368176e-01, 3.06049643869857917e+01, 1.47067500277284539e-03
 2.68896620558043464e+00, 8.06770263472069132e+02, 3.08601550551368176e-01, 3.06049643869857917e+01, 1.47067500277284539e-03
 2.68896620558043464e+00, 8.06770263472069132e+02, 3.08601550551368176e-01, 3.06049643869857917e+01, 1.47067500277284539e-03
 2.70277351828467305e+00, 8.04672472891891971e+02, 2.98289867437813216e-01, 3.03862559845783160e+01, 5.72147081332524936e-03
 2.70277351828467305e+00, 8.04672472891891971e+02, 2.98289867437813216e-01, 3.03862559845783160e+01, 5.72147081332524936e-03
 2.70277351828467305e+00, 8.04672472891891971e+02, 2.98289867437813216e-01, 3.03862559845783160e+01, 5.72147081332524936e-03
 2.70277351828467305e+00, 8.04672472891891971e+02, 2.98289867437813216e-01, 3.03862559845783160e+01, 5.72147081332524936e-03
 2.70277351828467305e+00, 8.04672472891891971e+02, 2.98289867437813216e-01, 3.03862559845783160e+01, 5.72147081332524936e-03
 2.70277351828467305e+00, 8.04672472891891971e+02, 2.98289867437813216e-01, 3.03862559845783160e+01, 5.72147081332524936e-03
 2.70277351828467305e+00, 8.04672472891891971e+02, 2.98289867437813216e-01, 3.03862559845783160e+01, 5.72147081332524936e-03
 2.70277351828467305e+00, 8.04672472891891971e+02, 2.98289867437813216e-01, 3.03862559845783160e+01, 5.72147081332524936e-03
 2.70277351828467305e+00, 8.04672472891891971e+02, 2.98289867437813216e-01, 3.03862559845783160e+01, 5.72147081332524936e-03
 3.00029341988131071e+00, 8.07481481793793478e+02, 3.33899470407782339e-01, 3.00524637856117565e+01, 5.11491667361224991e-03
 3.00029341988131071e+00, 8.07481481793793478e+02, 3.33899470407782339e-01, 3.00524637856117565e+01, 5.11491667361224991e-03
 3.09589384477749885e+00, 8.09001949880447228e+02, 3.06359177838906205e-01, 3.07073745094564323e+01, 8.70405922139512976e-03
 3.09589384477749885e+00, 8.09001949880447228e+02, 3.06359177838906205e-01, 3.07073745094564323e+01, 8.70405922139512976e-03
 3.09589384477749885e+00, 8.09001949880447228e+02, 3.06359177838906205e-01, 3.07073745094564323e+01, 8.70405922139512976e-03
 3.09589384477749885e+00, 8.09001949880447228e+02, 3.06359177838906205e-01, 3.07073745094564323e+01, 8.70405922139512976e-03
 3.09589384477749885e+00, 8.09001949880447228e+02, 3.06359177838906205e-01, 3.07073745094564323e+01, 8.70405922139512976e-03
 3.09589384477749885e+00, 8.09001949880447228e+02, 3.06359177838906205e-01, 3.07073745094564323e+01, 8.70405922139512976e-03
 3.09589384477749885e+00, 8.09001949880447228e+02, 3.06359177838906205e-01, 3.07073745094564323e+01, 8.70405922139512976e-03
 3.05262810957285158e+00, 8.09530153603997519e+02, 2.97022463725521213e-01, 3.06948386702762122e+01, 1.21239906046522027e-02
 3.05262810957285158e+00, 8.09530153603997519e+02, 2.97022463725521213e-01, 3.06948386702762122e+01, 1.21239906046522027e-02
